source_vtd_geoid,source_vtd_code,source_vtd_name,source_vtd_area_m2,precinct_key,target_id,target_name,COUNTYFP20,prec_id,intersection_area_m2,source_blocks,area_weight,source_area_share_pct
16031031015,031015,jackson Voting District,168302105.8220653,16031031015,16031312710,CASSIA - 312710,031,312710,438528.9732629165,5,0.002605605979324728,0.2605605979324728
16031031015,031015,jackson Voting District,168302105.8220653,16031031015,16031312713,CASSIA - 312713,031,312713,10189478.157515842,5,0.06054278470103342,6.054278470103342
16031031015,031015,jackson Voting District,168302105.8220653,16031031015,16031312714,CASSIA - 312714,031,312714,157568537.76608872,62,0.9362243983606214,93.62243983606214
16031031015,031015,jackson Voting District,168302105.8220653,16031031015,16067672701,MINIDOKA - 672701,067,672701,9221.6971570608,3,5.4792523908229e-05,0.0054792523908229005
16031031015,031015,jackson Voting District,168302105.8220653,16031031015,16067672708,MINIDOKA - 672708,067,672708,90.77462431172762,1,5.393552497061305e-07,5.3935524970613046e-05
16031031015,031015,jackson Voting District,168302105.8220653,16031031015,16067672710,MINIDOKA - 672710,067,672710,14562.768807773322,2,8.652754959090991e-05,0.008652754959090991
16031031016,031016,malta Voting District,386181320.76617897,16031031016,16031312707,CASSIA - 312707,031,312707,1.290639221511805e-07,2,3.3420550195208634e-16,3.3420550195208635e-14
16031031016,031016,malta Voting District,386181320.76617897,16031031016,16031312709,CASSIA - 312709,031,312709,1530944.931064594,9,0.003964316368350541,0.3964316368350541
16031031016,031016,malta Voting District,386181320.76617897,16031031016,16031312711,CASSIA - 312711,031,312711,25201575.30323032,3,0.06525840051826097,6.525840051826097
16031031016,031016,malta Voting District,386181320.76617897,16031031016,16031312713,CASSIA - 312713,031,312713,4291499.309625103,8,0.01111265376872921,1.111265376872921
16031031016,031016,malta Voting District,386181320.76617897,16031031016,16031312715,CASSIA - 312715,031,312715,352374010.6713256,148,0.9124574175991215,91.24574175991215
16031031016,031016,malta Voting District,386181320.76617897,16031031016,16031312722,CASSIA - 312722,031,312722,2783290.5509387846,3,0.007207211745551987,0.7207211745551987
16031031017,031017,oakley 1 Voting District,1368182173.5044062,16031031017,16031312716,CASSIA - 312716,031,312716,72850953.63315375,45,0.053246530355351936,5.324653035535194
16031031017,031017,oakley 1 Voting District,1368182173.5044062,16031031017,16031312717,CASSIA - 312717,031,312717,1228179870.3541942,284,0.8976727618138629,89.7672761813863
16031031017,031017,oakley 1 Voting District,1368182173.5044062,16031031017,16031312718,CASSIA - 312718,031,312718,59414675.80408098,25,0.04342599761543351,4.342599761543351
16031031017,031017,oakley 1 Voting District,1368182173.5044062,16031031017,16031312719,CASSIA - 312719,031,312719,6908738.314635974,5,0.005049574865414459,0.5049574865414459
16031031017,031017,oakley 1 Voting District,1368182173.5044062,16031031017,16083832510,TWIN FALLS - 832510,083,832510,348957.53989061294,12,0.0002550519562733428,0.02550519562733428
16031031017,031017,oakley 1 Voting District,1368182173.5044062,16031031017,16083832514,TWIN FALLS - 832514,083,832514,13770.976290062501,3,1.0065162780764846e-05,0.0010065162780764846
16031031018,031018,oakley 2 Voting District,483884889.27145195,16031031018,16031312708,CASSIA - 312708,031,312708,47235635.126761645,10,0.09761750402638257,9.761750402638256
16031031018,031018,oakley 2 Voting District,483884889.27145195,16031031018,16031312716,CASSIA - 312716,031,312716,426780975.8866124,126,0.8819886409951415,88.19886409951415
16031031018,031018,oakley 2 Voting District,483884889.27145195,16031031018,16031312717,CASSIA - 312717,031,312717,9808197.30831555,24,0.02026969125463495,2.026969125463495
16031031018,031018,oakley 2 Voting District,483884889.27145195,16031031018,16031312719,CASSIA - 312719,031,312719,1.7081496393560325e-08,1,3.530074356998131e-17,3.530074356998131e-15
16031031018,031018,oakley 2 Voting District,483884889.27145195,16031031018,16031312724,CASSIA - 312724,031,312724,5.65236339222612e-07,3,1.1681214928485257e-15,1.1681214928485257e-13
16031031019,031019,parsons Voting District,260184197.5706938,16031031019,16031312717,CASSIA - 312717,031,312717,28926.78531144383,3,0.00011117810221193095,0.011117810221193094
16031031019,031019,parsons Voting District,260184197.5706938,16031031019,16031312718,CASSIA - 312718,031,312718,208807347.74959737,73,0.8025366248188959,80.25366248188959
16031031019,031019,parsons Voting District,260184197.5706938,16031031019,16031312719,CASSIA - 312719,031,312719,47596823.46505394,5,0.18293510485824782,18.293510485824783
16031031019,031019,parsons Voting District,260184197.5706938,16031031019,16031312721,CASSIA - 312721,031,312721,3701833.519323049,8,0.014227741553432491,1.4227741553432491
16031031019,031019,parsons Voting District,260184197.5706938,16031031019,16083832501,TWIN FALLS - 832501,083,832501,37695.53116198048,12,0.00014488017148596563,0.014488017148596563
16031031019,031019,parsons Voting District,260184197.5706938,16031031019,16083832509,TWIN FALLS - 832509,083,832509,11570.520244240519,4,4.447049571908275e-05,0.004447049571908275
16031031020,031020,pella Voting District,163182190.86065775,16031031020,16031312716,CASSIA - 312716,031,312716,7.303333908338758e-07,2,4.4755704466396815e-15,4.4755704466396816e-13
16031031020,031020,pella Voting District,163182190.86065775,16031031020,16031312717,CASSIA - 312717,031,312717,3.2148667717061402e-06,5,1.9701088426073002e-14,1.9701088426073e-12
16031031020,031020,pella Voting District,163182190.86065775,16031031020,16031312718,CASSIA - 312718,031,312718,6833457.7254402945,4,0.04187624696910354,4.187624696910354
16031031020,031020,pella Voting District,163182190.86065775,16031031020,16031312719,CASSIA - 312719,031,312719,128381557.15785578,103,0.7867375507139842,78.67375507139842
16031031020,031020,pella Voting District,163182190.86065775,16031031020,16031312721,CASSIA - 312721,031,312721,20137530.99850365,19,0.12340520060610786,12.340520060610787
16031031020,031020,pella Voting District,163182190.86065775,16031031020,16031312723,CASSIA - 312723,031,312723,794.266034879687,4,4.867357342676662e-06,0.0004867357342676662
16031031020,031020,pella Voting District,163182190.86065775,16031031020,16031312724,CASSIA - 312724,031,312724,7828850.712825161,9,0.04797613435347405,4.797613435347405
16031031021,031021,springdale Voting District,25726268.775870465,16031031021,16031312710,CASSIA - 312710,031,312710,191948.51192541883,6,0.007461187380015785,0.7461187380015785
